Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
1045,Gouwenbrug,Verkeersbrug,Concrete,2. Good,1976,SB AIB,Gemeente Almere,Existing,7.5,19.5,146.3,Boerderijbrug,52.3419034,5.215563,0,0,10,1,2300,318630A66B513498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Hoven,Almere Haven,143166.974,483774.529
1048,Westbrug,Verkeersbrug,Concrete,2. Good,1977,SB AIB,Gemeente Almere,Existing,10.4,20.4,212.2,Lobbrug,52.3422016,5.2082628,0,2.5,9.5,2,2300,318630A66B433498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Wierden,Almere Haven,142941.87,483750.5807
1049,Lobbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,9.5,14.5,137.8,Lobbrug,52.3422016,5.2082628,7.4,0,11,1.2,2100,318630A66B423498E0535B320A0A7C56,Marktgracht,Groengebieden/Parken,De Wierden,Almere Haven,142810.099,483818.876
1051,Jeugdlandbrug,Verkeersbrug,Concrete,2. Good,1980,SB AIB,Gemeente Almere,Existing,8.5,12.5,106.3,Leembrug,52.9269736,6.4206918,5,0,10,1.5,2300,318630A66AF63498E0535B320A0A7C56,Meerveldstraat,Groengebieden/Parken,De Wierden,Almere Haven,142589.904,484053.6546
1070,Tuibrug Hoge Vaart,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,4,161.9,647.6,Hoge Vaart_Tuibrug 2,52.4022425,5.5644246,0,6,32.5,6,2100,318630A66B623498E0535B320A0A7C56,Hoge Vaart,Groengebieden/Parken,overig Almere Hout,Almere Hout,147299.469,485212.965
2002,Fontanabrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,History,13,10.5,136.5,Oorweg_A6,,,7,,9,1.5,2100,318630A66BAA3498E0535B320A0A7C56,Fontanapad,Buitengebied,overig Almere Stad,Almere Stad,142951.79,485432.495
2004,Maastrichtbrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,7.5,15,112.5,Maastrichtbrug,50.8494299,5.6962522,4.5,,13.5,2,2100,318630A66B713498E0535B320A0A7C56,Vaalsgracht,Groengebieden/Parken,Stedenwijk,Almere Stad,142929.016,485792.045
2006,Mookbrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,10,12.5,125,Mookbrug,52.3614139,5.2081024,5.5,,10,2,2100,318630A66B683498E0535B320A0A7C56,Mookpad,Groengebieden/Parken,Stedenwijk,Almere Stad,142805.447,485957.779
2007,Geldersebrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,10.5,12.5,131.3,Mookbrug,52.3614139,5.2081024,7,,10,2,2100,318630A66B673498E0535B320A0A7C56,Edestraat,Groengebieden/Parken,Stedenwijk,Almere Stad,142663.779,486006.391
2008,Rotterdambrug,Verkeersbrug,Concrete,2. Good,1981,SB AIB,Gemeente Almere,Existing,10,12.5,125,Rotterdambrug,51.909004,4.4871227,5.5,,10,1.5,2100,318630A66AAA3498E0535B320A0A7C56,Rotterdamweg,Groengebieden/Parken,Stedenwijk,Almere Stad,142612.26,485982.363
