Assetnumber,AssetName,AssetType,ConstructionType,Maintainance State,Buildyear,Maintainer,Owner,Status,Width,Length,Area,Location,Latitude,Longitude,Passage road-width,Passage road-height,Passage sail-width,Passage sail-height,Technical lifespan expires,OBJECT_GUID,Area,Connection Type,Neighborhood,City,RD-X,RD-Y
2791,Ella Fitzgeraldbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,16.6,31.4,521.2,Charlie Parkerbrug,39.2664566,-81.5456576,0,0,11,3,2100,318630A66B383498E0535B320A0A7C56,Ella Fitzgeraldpad,Groengebieden/Parken,Muziekwijk,Almere Stad,140899.832,486643.985
2792,Glenn Millerbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,10.2,24,245,Mineurbrug,52.3697485,5.1812806,5.4,,7.4,2.05,2100,318630A66A9D3498E0535B320A0A7C56,Glenn Millerweg,Groengebieden/Parken,Muziekwijk,Almere Stad,140931.969,486770.64
2793,Mineurbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,6.6,27.1,182,Mineurbrug,52.3697485,5.1812806,5,,8.8,2.1,2100,318630A66A9E3498E0535B320A0A7C56,Nat King Colestraat,Groengebieden/Parken,Muziekwijk,Almere Stad,140975.239,486899.099
2794,Majeurbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,6.6,27.1,182,Mineurbrug,52.3697485,5.1812806,5,,8.8,2.1,2100,318630A66A9F3498E0535B320A0A7C56,Piccolostraat,Groengebieden/Parken,Muziekwijk,Almere Stad,141011.184,487004.224
2795,Contrabasbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,10.2,24,245,Slagwerkbrug,40.749011,-73.994485,5.4,,7.4,2.05,2100,318630A66AA43498E0535B320A0A7C56,Contrabasweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141059.472,487136.571
2796,Slagwerkbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,3.5,24.1,84,Slagwerkbrug,40.749011,-73.994485,3,,7.8,2.25,2100,318630A66AA53498E0535B320A0A7C56,Slagwerkpad,Groengebieden/Parken,Muziekwijk,Almere Stad,141118.475,487269.646
2797,Saxofoonbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,9,24.3,218.7,Slagwerkbrug,40.749011,-73.994485,5.6,,7.8,2.05,2100,318630A66AA63498E0535B320A0A7C56,Saxofoonweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141170.971,487398.623
2798,Suitebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,5.5,24,132,Divertimentobrug,40.7773906,-73.9580934,5.1,,7.8,2.05,2100,318630A66AA33498E0535B320A0A7C56,Fugaplantsoen,Groengebieden/Parken,Muziekwijk,Almere Stad,141310.074,487591.563
2799,Partitabrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,5.5,24,132,Rapsodiebrug,52.3756972,5.1897292,5.1,,7.8,2.04,2100,318630A66AA03498E0535B320A0A7C56,Partitastraat,Groengebieden/Parken,Muziekwijk,Almere Stad,141492.213,487659.395
2800,Divertimentobrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,3.5,24,144,Divertimentobrug,40.7773906,-73.9580934,3,,7.8,2.07,2100,318630A66AA23498E0535B320A0A7C56,Divertimentostraat,Groengebieden/Parken,Muziekwijk,Almere Stad,141522.136,487708.534
2802,Nootmuskaatbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,8.3,18,149.4,Nootmuskaatbrug,52.3802101,5.1990669,4.5,,15,2,2100,318630A66ACA3498E0535B320A0A7C56,De Specerij,Groengebieden/Parken,Kruidenwijk,Almere Stad,142192.48,488057.386
2804,Rozemarijnbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9.2,16.2,149,Rozemarijnbrug,51.0499173,3.709594,5.5,,15,2,2100,318630A66B053498E0535B320A0A7C56,Rozemarijnstraat,Groengebieden/Parken,Kruidenwijk,Almere Stad,142631.517,487954.222
2807,Basilicumbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9.2,12.3,113.2,Basilicumbrug,52.3797935,5.2086013,5.5,,12,2,2100,318630A66B043498E0535B320A0A7C56,Basilicumweg,Groengebieden/Parken,Kruidenwijk,Almere Stad,142832.478,488018.831
2808,Distelbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9.2,12.3,113.1,Bergklaverbrug,52.3824193,5.2100489,5.5,,9.2,2,2100,318630A66B0E3498E0535B320A0A7C56,Distelweg,Groengebieden/Parken,Kruidenwijk,Almere Stad,142900.421,488207.557
2821,Kruidenbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9,31.5,283.5,Krijgertjebrug,52.3827042,5.1902592,6.5,,22,2.5,2100,318630A66B253498E0535B320A0A7C56,Kruidenweg,Groengebieden/Parken,Kruidenwijk,Almere Stad,141693.901,488136.236
2822,Saxofoonbrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,5.5,23.7,233,Suitebrug,,,5.1,,9,2,2100,318630A66B983498E0535B320A0A7C56,Saxofoonweg,Groengebieden/Parken,Muziekwijk,Almere Stad,141192.653,487427.485
2823,2e Beatrixpoort,Verkeersbrug,Concrete,2. Good,2000,SB AIB,Gemeente Almere,Existing,9.7,20.3,196.91,Waddendreef_Beatrixpark 2,52.3823094,5.1984358,6.9,2.7,,,2100,318630A66B093498E0535B320A0A7C56,Waddendreef,Hoofdwegen,Kruidenwijk,Almere Stad,142556.265,487279.247
2824,2e Parkweteringbrug,Verkeersbrug,Concrete,2. Good,2000,SB AIB,Gemeente Almere,Existing,9.6,61.2,587.5,Hoepelbrug,52.3751879,5.2059253,6.6,,21,4.2,2100,318630A66B073498E0535B320A0A7C56,Den Uylpad,Groengebieden/Parken,Kruidenwijk,Almere Stad,142712.8733,487320.6839
2825,2e Prinsenpoort,Verkeersbrug,Concrete,2. Good,2000,SB AIB,Gemeente Almere,Existing,10,12,120,Waddendreef_Staatsliedenwijk 2,52.3731386,5.2045779,6.5,2.5,10,,2080,318630A66AC93498E0535B320A0A7C56,Waddendreef,Hoofdwegen,Staatsliedenwijk,Almere Stad,142998.82,487400.074
2903,KW OE-B,Verkeersbrug,Concrete,2. Good,1988,SB AIB,Gemeente Almere,Existing,6,23.8,142.8,Noorderplassen 5,52.3901132,5.2034767,4,,10.5,2,2100,318630A66B993498E0535B320A0A7C56,Von Draisweg,Groengebieden/Parken,Noorderplassen,Almere Stad,144096.996,489623.664
2904,Lepelaarbrug,Verkeersbrug,Concrete,2. Good,1973,SB AIB,Gemeente Almere,Existing,7.7,28.2,217.1,Noorderplassen 5,52.3901132,5.2034767,0,0,20,1.5,2100,318630A66ADE3498E0535B320A0A7C56,Lepelaarpad,Groengebieden/Parken,Noorderplassen,Almere Stad,142997.073,490287.902
2907,Noorderleedebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,6.5,53.8,349.7,Noorderleedebrug,,,4.4,0,0,2.9,2100,318630A66ADF3498E0535B320A0A7C56,Noorderleedepad,Groengebieden/Parken,Noorderplassen,Almere Stad,141383.37,488670.185
2921,1e en 2e Boegdreefbrug,Verkeersbrug,Concrete,2. Good,2004,SB AIB,Gemeente Almere,Existing,7.8,11.2,87,Boegdreef 2,51.615308,4.7218507,3.3,2.6,,,,318630A66B9A3498E0535B320A0A7C56,Boegdreef,Hoofdwegen,Noorderplassen,Almere Stad,140943.2044,488473.5101
2923,Fokkeboombrug,Verkeersbrug,Concrete,2. Good,2004,SB AIB,Gemeente Almere,Existing,6,16.9,101.4,Giek_Fokkeboom_Plecht,52.3868149,5.1834064,4.4,,10.1,6.8,,318630A66B9C3498E0535B320A0A7C56,Fokkeboom,Groengebieden/Parken,Noorderplassen,Almere Stad,141091.136,488682.276
2932,2e Roerbrug,Verkeersbrug,Concrete,2. Good,2006,SB AIB,Gemeente Almere,Existing,4,28.9,115.6,Hoge Wetering 2,,,3.4,,15.3,3.3,,318630A66B9D3498E0535B320A0A7C56,Boelijn,Groengebieden/Parken,Noorderplassen,Almere Stad,140823.869,489095.653
2933,2e Kombuisbrug,Verkeersbrug,Concrete,2. Good,2006,SB AIB,Gemeente Almere,Existing,6.8,28,190.4,Hoge Wetering 2,,,3.5,,15.3,3.3,,318630A66BA13498E0535B320A0A7C56,Grootzeil,Groengebieden/Parken,Noorderplassen,Almere Stad,140734.76,489047.276
2937,,Verkeersbrug,Concrete,2. Good,2012,SB AIB,Gemeente Almere,Existing,7.5,10.9,81.75,Boeilijn 144~182,52.3951864,5.175477,5.5,,7,1,2092,318630A66BF23498E0535B320A0A7C56,Ankerbol,Woongebied,Noorderplassen,Almere Stad,140631.5225,489650.051
2938,Kompasbrug,Verkeersbrug,Concrete,2. Good,2008,SB AIB,Gemeente Almere,Existing,7,16,112,Noorderplassen 4,52.388092,5.1822002,4.5,,7,1.6,2200,318630A66BA23498E0535B320A0A7C56,Kompas,Groengebieden/Parken,Noorderplassen,Almere Stad,140765.693,489819.141
2939,Radarbrug,Verkeersbrug,Concrete,2. Good,2008,SB AIB,Gemeente Almere,Existing,6.5,48.5,315,Noorderplassen 4,52.388092,5.1822002,4.3,,5,1.7,2200,318630A66BA33498E0535B320A0A7C56,Jakobsstaf,Groengebieden/Parken,Noorderplassen,Almere Stad,140665.519,489976.891
2941,Eindsplitsbrug,Verkeersbrug,Concrete,2. Good,2009,SB AIB,Gemeente Almere,Existing,7,16.2,113.4,Noorderplassen 4,52.388092,5.1822002,6,,8,1,2089,318630A66BA53498E0535B320A0A7C56,Eindsplits,Groengebieden/Parken,Noorderplassen,Almere Stad,140469.155,490363.709
2943,Galjootbrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,9.5,6.5,61.75,Galjootweg 2,52.3860833,5.1678191,7.5,,,,2090,71D71104-D142-4638-A579-79504F8533D3,Roer,Buitengebied,Noorderplassen,Almere Stad,140945.5663,489187.6553
2958,1e Roerbrug,Verkeersbrug,Concrete,2. Good,2007,SB AIB,Gemeente Almere,Existing,8.2,27.65,192.7,Hoge Wetering 2,,,7,,15.3,3.3,,318630A66B9E3498E0535B320A0A7C56,Boelijn,Groengebieden/Parken,Noorderplassen,Almere Stad,140814.512,489090.638
2959,3e Roerbrug,Verkeersbrug,Concrete,2. Good,2007,SB AIB,Gemeente Almere,Existing,7,29.3,205.1,Hoge Wetering 2,,,5.5,,15.3,3.3,,318630A66B9F3498E0535B320A0A7C56,Boelijn,Groengebieden/Parken,Noorderplassen,Almere Stad,140831.951,489098.97
2960,1e Kombuisbrug,Verkeersbrug,Concrete,2. Good,2007,SB AIB,Gemeente Almere,Existing,10.1,28.7,289.87,Hoge Wetering 3,,,9,,15.3,3.3,,318630A66BA03498E0535B320A0A7C56,Grootzeil,Groengebieden/Parken,Noorderplassen,Almere Stad,140714.149,489035.105
3002,Richterenbrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,9.4,14.6,137.2,Jaap Nippadbrug 1,52.3917227,5.2632656,4.8,,11,1,2100,318630A66AEF3498E0535B320A0A7C56,Daniel Stalpaertstraat,Groengebieden/Parken,Bouwmeesterbuurt,Almere Buiten,146452.257,489252.652
3004,Sportlaanbrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,9.8,5.7,55.9,Rechterenstraat,52.0527155,4.3065754,5.5,,5,1.5,2100,318630A66AF03498E0535B320A0A7C56,Sportlaan,Woongebied,Landgoederenbuurt,Almere Buiten,146488.682,489226.227
3008,Bostonpoort,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,10.5,5.7,59.9,Breedenborgstraat,52.3927267,5.2691413,8.8,2.6,,,2100,318630A66AF53498E0535B320A0A7C56,Polderdreef,Woongebied,Landgoederenbuurt,Almere Buiten,147009.118,489474.626
3009,Torontobrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,14.5,28.4,411.8,San Franciscostraat 1,52.3500996,4.759817,6.5,,,,2100,318630A66AF43498E0535B320A0A7C56,Piet Moeskopspad,Groengebieden/Parken,Molenbuurt,Almere Buiten,146925.477,489585.122
3011,Molenwiekbrug,Duikerbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,3,28,258.16,Parijsbrug 2,,,0,0,3,0.9,2100,29D8A296D226C5C5E0500A0A57326FCA,Piet Moeskopspad,Groengebieden/Parken,Molenbuurt,Almere Buiten,,
3013,Parijsbrug,Verkeersbrug,Concrete,2. Good,2012,SB AIB,Gemeente Almere,Existing,5.2,21.2,110.24,Parijsbrug 2,,,3.4,,8.5,2,2092,318630A66AF93498E0535B320A0A7C56,Piet Moeskopspad,Groengebieden/Parken,Molenbuurt,Almere Buiten,147481.173,489976.316
3015,Tijdpadbrug,Fiets-voetbrug,Concrete,2. Good,1987,SB AIB,Gemeente Almere,Existing,3.7,32,118.4,Gracht Meridiaanpark 2,52.3930851,5.2886677,3.3,,12,2,2027,318630A66BA73498E0535B320A0A7C56,Tijdpad,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,147718.829,490137.338
3016,Moutmolenbrug,Duikerbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9.4,17,45.35,Bosrandpoort 1,52.052452,5.6807289,5,,5,1.5,2100,318630A66BA83498E0535B320A0A7C56,Moutmolenpad,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,,
3021,J.B.Bakemabrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,16,51.3,820.9,Walmolenbrug 1,52.3999886,5.2646039,9.9,,15,7,2100,318630A66AFE3498E0535B320A0A7C56,Polderdreef,Groengebieden/Parken,Molenbuurt,Almere Buiten,146543.095,490173.241
3024,D.Nuddigbrug,Verkeersbrug,Concrete,2. Good,1984,SB AIB,Gemeente Almere,Existing,9.5,5.6,53.2,D Hudigbrug,52.3968653,5.2574087,5.5,,5,1.3,2100,318630A66AFC3498E0535B320A0A7C56,C. van Eesterenplein,Groengebieden/Parken,Bouwmeesterbuurt,Almere Buiten,146168.508,489903.792
3025,C. van Eesterenbrug,Verkeersbrug,Concrete,2. Good,1983,SB AIB,Gemeente Almere,Existing,13.5,5.5,74.3,D Hudigbrug,52.3968653,5.2574087,3.6,,5,1,2100,318630A66AFD3498E0535B320A0A7C56,Pirellipad,Groengebieden/Parken,Bouwmeesterbuurt,Almere Buiten,146066.632,489826.248
3026,C.Outshoornbrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,9.4,5.5,51.7,L Wijersbrug,52.3943641,5.2578026,5.5,,5,1.5,2100,318630A66B293498E0535B320A0A7C56,C. van Eesterenplein,Groengebieden/Parken,Bouwmeesterbuurt,Almere Buiten,146144.875,489736.253
3027,Pieter de Swartbrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,10,5.5,55,Daniel Stalpaertbrug,41.404335,-75.4048587,5.5,,55,1.5,2100,318630A66AFF3498E0535B320A0A7C56,M.J. Granpre Molierestr.,Groengebieden/Parken,Bouwmeesterbuurt,Almere Buiten,146305.588,489497.521
3038,Middachtenbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,10.2,19.2,195.8,Middachtenbrug,52.3871434,5.2665937,5.5,,15,2,2100,318630A66AF23498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Landgoederenbuurt,Almere Buiten,146770.648,488827.157
3039,Leuvenhorstbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,11.1,17.3,192,Middachtenbrug,52.3871434,5.2665937,8.3,,15,2,2100,318630A66AF13498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Landgoederenbuurt,Almere Buiten,146670.067,488965.114
3040,Vierde Geuzenbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,5.7,16.2,92.3,Amelisweerdbrug,52.389324,5.2640794,5.3,,15,2,2100,318630A66B703498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Landgoederenbuurt,Almere Buiten,146647.257,488994.721
3042,Hofstedebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,3.5,16.3,57.1,Amelisweerdbrug,52.389324,5.2640794,3.1,,15,2,2100,318630A66B6E3498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Landgoederenbuurt,Almere Buiten,146540.076,489153.196
3044,Amelisweerdbrug,Verkeersbrug,Concrete,2. Good,1990,SB AIB,Gemeente Almere,Existing,3.5,16.3,57.1,Rechterenstraat,52.0527155,4.3065754,3.1,,15,2,2100,318630A66B6F3498E0535B320A0A7C56,Gerrit Schultepad,Woongebied,Landgoederenbuurt,Almere Buiten,146601.38,489064.233
3047,GRACHT BEGRAAFPLAATS,Verkeersbrug,Concrete,2. Good,1987,SB AIB,Gemeente Almere,Existing,3.7,28.5,105.5,Gracht Meridiaanpark 1,52.3930851,5.2886677,3.3,,12,2,2100,318630A66BA93498E0535B320A0A7C56,Moutmolenpad,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,147560.948,490364.743
3049,Kalenderbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,15.8,15.8,211.7,Kalenderbrug 1,,,5.5,,15,2,2100,318630A66AFA3498E0535B320A0A7C56,Kalenderweg,Groengebieden/Parken,Indischebuurt,Almere Buiten,147860.473,489880.36
3050,Septemberbrug,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,8.8,15.5,136.4,Septemberbrug,52.4033697,5.2820237,4.5,,12,1.5,2100,318630A66B013498E0535B320A0A7C56,Septemberstraat,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,147842.655,490626.952
3052,Februaribrug,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,8.5,15.6,132.6,Februaribrug,52.4057576,5.2875859,4.5,,15,2.5,2100,318630A66B023498E0535B320A0A7C56,Februaristraat,Groengebieden/Parken,Seizoenenbuurt,Almere Buiten,148221.435,490893.36
3053,Bosrandbrug,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,9,86.8,781.2,Willem Bontekoebrug,52.4068673,5.29014,6.5,,15,6,2100,318630A66B2A3498E0535B320A0A7C56,Bosranddreef,Groengebieden/Parken,Oostvaardersbuurt,Almere Buiten,148334.285,490971.472
3055,Bosrandpoort,Verkeersbrug,Concrete,2. Good,1996,SB AIB,Gemeente Almere,Existing,9,13,117,Oostrandpark_Fluitweg,52.4098172,5.2876858,6.5,,,,2100,318630A66BC33498E0535B320A0A7C56,Bosranddreef,Buitengebied,Oostvaardersbuurt,Almere Buiten,148138.4159,491169.4433
3058,Willem Bontekoebrug,Verkeersbrug,Concrete,2. Good,1999,SB AIB,Gemeente Almere,Existing,5.8,14.7,85.3,Willem Bontekoebrug,52.4068673,5.29014,5.4,,13,1.7,2100,318630A66B2B3498E0535B320A0A7C56,Ommelandvaart,Groengebieden/Parken,Oostvaardersbuurt,Almere Buiten,148394.663,491014.527
3063,Busbaan,Duikerbrug,Concrete,2. Good,2000,SB AIB,Gemeente Almere,Existing,3,9.8,33.95,BB Laan der V.O.C.,52.4053164,5.3040894,,,2.7,0.6,2090,29D8A296DD67C5C5E0500A0A57326FCA,Vergulde Draakstraat,Hoofdwegen,Oostvaardersbuurt,Almere Buiten,,
3063,,Duikerbrug,Concrete,2. Good,2000,SB AIB,Gemeente Almere,Existing,3,8.1,30.52,Vergulde Draakstraat 5~17,52.4060136,5.3045948,,,2.7,0.6,2090,29D8A296F5BAC5C5E0500A0A57326FCA,Vergulde Draakstraat,Woongebied,Oostvaardersbuurt,Almere Buiten,,
3300,Buitenhoutsebrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,15.5,91.6,1419.8,Lage Vaart 11,52.4797081,5.4902569,7.4,,,,2100,318630A66B153498E0535B320A0A7C56,Lage Vaart,Groengebieden/Parken,overig Almere Buiten,Almere Buiten,147793.028,488407.282
3302,Tuibrug Lage Vaart,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,4.5,185,832.5,Lage Vaart 11,52.4797081,5.4902569,0,0,32,6.5,2100,318630A66B163498E0535B320A0A7C56,Lage Vaart,Groengebieden/Parken,overig Almere Buiten,Almere Buiten,148555.1659,488826.7156
3303,Jasmijnbrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,7.5,60.5,453.8,Gerrit Schultebrug,52.3899598,5.296024,0,0,8,5,2100,318630A66ADD3498E0535B320A0A7C56,Gerard Monninkpad,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,148508.316,488981.214
3304,Korenbloembrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,10,21.5,215,Geraniumbrug,52.3900141,5.2858083,0,0,10,1.8,2100,318630A66ACF3498E0535B320A0A7C56,Korenbloemweg,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,148208.121,489205.623
3305,Geraniumbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,6,29.6,177.6,Geraniumbrug,52.3900141,5.2858083,0,0,10,2,2100,318630A66AD03498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,148102.564,489130.758
3306,Bougainvillebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,6,29.6,177.6,Geraniumbrug,52.3900141,5.2858083,0,0,10,2,2100,318630A66AD13498E0535B320A0A7C56,Bougainvillepad,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,147969.012,489036.593
3307,Lupinebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,3.5,29,101.5,Lupinebrug,52.3880257,5.281458,0,0,10,2,2100,318630A66AD23498E0535B320A0A7C56,Soniapad,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,147801.39,488917.21
3308,Zonnebloembrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,9.7,21,203.7,Lupinebrug,52.3880257,5.281458,0,0,10,2,2100,318630A66AD33498E0535B320A0A7C56,Zonnebloemweg,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,147699.696,488847.359
3309,Cyclaambrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,5,18.3,91.5,Lupinebrug,52.3880257,5.281458,4.6,,6,1,2100,318630A66AD43498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,147593.446,488770.002
3310,Edelhertbrug,Verkeersbrug,Concrete,2. Good,1985,SB AIB,Gemeente Almere,Existing,10,58.5,585,Lupinebrug,52.3880257,5.281458,6.5,,14.4,5,2100,318630A66AD53498E0535B320A0A7C56,Buitenhoutsedreef,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,147569.384,488754.114
3311,Antilopebrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,4.8,16.4,78.7,Antilopebrug,36.0978118,-95.9152459,4.4,,15,2,2100,318630A66B0A3498E0535B320A0A7C56,Pandabeerstraat,Groengebieden/Parken,Faunabuurt,Almere Buiten,147466.999,488683.552
3312,Leeuwbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,9,16.1,144.9,Antilopebrug,36.0978118,-95.9152459,4.5,,15,2,2100,318630A66B0B3498E0535B320A0A7C56,Leeuwstraat,Groengebieden/Parken,Faunabuurt,Almere Buiten,147201.369,488605.477
3313,Wezelbrug,Verkeersbrug,Concrete,2. Good,1993,SB AIB,Gemeente Almere,Existing,9,16,144,Leeuwbrug,52.255638,6.1622963,4.7,,14.5,2,2100,318630A66B0C3498E0535B320A0A7C56,Wezelstraat,Groengebieden/Parken,Faunabuurt,Almere Buiten,147006.898,488644.721
3315,Alpacabrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,6.8,15.4,104.7,Leeuwbrug,52.255638,6.1622963,6.4,,5,1.5,2100,318630A66B0D3498E0535B320A0A7C56,Spoorbaanpad,Groengebieden/Parken,Faunabuurt,Almere Buiten,146933.796,488682.325
3317,Noordelijke Evenaarbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,11,36.6,402.6,Kalenderbrug 1,,,0,0,8,4,2100,318630A66ADB3498E0535B320A0A7C56,Evenaar,Groengebieden/Parken,Indischebuurt,Almere Buiten,148011.098,489674.032
3318,Zuidelijke Evenaarbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,11,36.6,402.6,Zuidelijke Evenaarbrug 1,52.3943058,5.2854008,0,0,8,4,2100,318630A66ADC3498E0535B320A0A7C56,Evenaar,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,148046.301,489621.053
3320,Tenerifebrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,8,39,312,Tenerifebrug 1,52.3963539,5.3009157,6.5,0,13,3.5,2100,318630A66B003498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,149121.8469,489843.9875
3322,Spectrumbrug,Verkeersbrug,Concrete,2. Good,1991,SB AIB,Gemeente Almere,Existing,12.5,97.6,1220,Lage Vaart 20,52.4797081,5.4902569,6.5,0,31.5,6.5,2100,318630A66B173498E0535B320A0A7C56,Lage Vaart,Groengebieden/Parken,overig Almere Buiten,Almere Buiten,149608.4,489399.545
3326,Victoria Regiabrug,Verkeersbrug,Concrete,2. Good,1989,SB AIB,Gemeente Almere,Existing,6,33.8,202.8,Geraniumbrug,52.3900141,5.2858083,0,0,10,2,2100,318630A66AD63498E0535B320A0A7C56,Waterleliestraat,Groengebieden/Parken,Bloemenbuurt,Almere Buiten,148248.392,489237.328
3327,Gerrit Schultebrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,4.5,83.4,388.8,Gerrit Schultebrug,52.3899598,5.296024,0,0,15,0,2100,318630A66BF33498E0535B320A0A7C56,Gerrit Schultepad,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,148333.5169,489243.8663
3328,Trekbrug,Verkeersbrug,Concrete,2. Good,1982,SB AIB,Gemeente Almere,Existing,7.5,41.4,310.5,Kolibribrug,40.7773906,-73.9580934,6,,20,2.5,2100,318630A66BDC3498E0535B320A0A7C56,Trekweg,Groengebieden/Parken,overig Almere Buiten,Almere Buiten,149543.1969,489312.1373
3329,Paarlemoerbrug,Verkeersbrug,Concrete,2. Good,1995,SB AIB,Gemeente Almere,Existing,3.5,8.2,28.7,Paarlemoervijver,52.3951515,5.2984238,0,0,0,0,2100,318630A66BFB3498E0535B320A0A7C56,Paarlemoervijver,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,149012.3175,489762.7904
3330,Meridiaanbrug,Verkeersbrug,Concrete,2. Good,1994,SB AIB,Gemeente Almere,Existing,3.6,,80.3,Meridiaanbrug,39.9685184,-86.1534753,0,0,0,0,2100,318630A66BC53498E0535B320A0A7C56,Meridiaanpad,Groengebieden/Parken,Regenboogbuurt,Almere Buiten,148359.3569,489283.1043
