Latitude,Longitude
141542.72,487869.662
141329.712,488009.23
141707.458,488123.349
141577.004,488338.913
141680.189,487261.104
141552.837,487548.197
140800.253,486304.286
140845.343,486431.148
140909.2809,486626.0202
140899.832,486643.985
140931.969,486770.64
140975.239,486899.099
141011.184,487004.224
141059.472,487136.571
141118.475,487269.646
141170.971,487398.623
141310.074,487591.563
141492.213,487659.395
141522.136,487708.534
142022.376,487970.717
142192.48,488057.386
142442.872,488016.9929
142442.3404,488023.9042
142631.517,487954.222
142813.41,487810.854
142784.195,487904.188
142832.478,488018.831
142900.421,488207.557
142932.195,488303.289
140863.885,486508.999
141693.901,488136.236
141192.653,487427.485
142556.265,487279.247
142712.8733,487320.6839
142998.82,487400.074
144019.656,490457.6422
144096.996,489623.664
142997.073,490287.902
141383.37,488670.185
143960.3561,491855.0426
140943.2044,488473.5101
141125.63,488622.095
141091.136,488682.276
140823.869,489095.653
140734.76,489047.276
140631.5225,489650.051
140765.693,489819.141
140665.519,489976.891
140568.642,490181.362
140469.155,490363.709
140893.417,489580.869
140945.5663,489187.6553
140428.484,490006.703
140269.5008,489923.1855
140814.512,489090.638
140831.951,489098.97
140714.149,489035.105
141450.7928,488675.4145
141751.3249,488902.7589
142107.7581,489041.3918
146176.9972,489056.4229
146315.416,489152.907
146452.257,489252.652
146457.457,489285.272
146488.682,489226.227
146562.64,489331.075
146685.252,489417.382
146794.8849,489494.0958
147009.118,489474.626
146925.477,489585.122
146769.265,489871.495
,
147358.077,489887.74
147481.173,489976.316
147671.639,490110.352
147718.829,490137.338
,
147267.214,490679.162
147084.94,490555.36
146656.327,490251.35
146543.095,490173.241
146391.79,490067.063
146268.555,489980.644
146168.508,489903.792
146066.632,489826.248
146144.875,489736.253
146305.588,489497.521
146060.002,490373.982
146595.079,490817.401
147364.267,490593.387
147275.569,490719.264
147174.4707,490998.143
145629.51,489878.386
146770.648,488827.157
146670.067,488965.114
146647.257,488994.721
146540.076,489153.196
147060.586,489680.067
146601.38,489064.233
147770.917,490009.113
147679.3123,490144.5553
147560.948,490364.743
146215.6295,489632.6064
147860.473,489880.36
147842.655,490626.952
148221.435,490893.36
148334.285,490971.472
148539.759,490680.764
148138.4159,491169.4433
148394.663,491014.527
148782.394,491221.843
149192.645,491115.48
149352.107,490880.354
,
,
149260.9981,491478.6292
149396.9969,491282.8863
149576.8427,491036.0312
147216.8278,491140.4588
147228.8477,491093.3038
147251.9629,491085.907
147793.028,488407.282
147643.633,488622.499
148555.1659,488826.7156
148508.316,488981.214
148208.121,489205.623
148102.564,489130.758
147969.012,489036.593
147801.39,488917.21
147699.696,488847.359
147593.446,488770.002
147569.384,488754.114
147466.999,488683.552
147201.369,488605.477
147006.898,488644.721
146933.796,488682.325
147375.786,489009.02
148011.098,489674.032
148046.301,489621.053
149000.497,490005.565
149121.8469,489843.9875
149324.438,489655.278
149608.4,489399.545
148248.392,489237.328
148333.5169,489243.8663
149543.1969,489312.1373
149012.3175,489762.7904
148359.3569,489283.1043
147958.0099,489754.2693
148625.582,489491.596
149475.473,489619.294
149655.908,489482.298
149676.162,489472.611
149659.379,489715.868
149637.854,489825.838
149649.956,489849.553
149644.274,490013.601
150059.9898,489874.8483
149638.7009,490164.5453
149495.6639,490685.089
149523.0702,490645.8493
149620.203,490381.064
150372.2091,491274.0314
150853.004,491038.6036
149437.5804,490769.1438
149483.5184,490699.1913
149542.8631,490615.9434
149919.988,490409.264
150209.019,490625.019
149992.716,490390.561
150574.993,490801.384
150063.782,490282.64
150662.726,490676.446
150216.292,490063.46
150820.321,490451.428
150871.4773,490396.6562
150215.864,489996.35
150507.996,490174.226
150272.049,489992.563
150911.39,490392.5272
150774.0004,490221.5772
150633.3616,490137.1407
150375.7349,489860.8314
150521.9955,490079.5696
150684.0594,490096.3638
149500.2769,490669.3854
139605.7787,483690.6378
140144.6081,484618.3886
139802.4683,485238.977
139330.5396,483462.8654
138639.95,484034.6206
138425.1723,484191.3211
138275.1712,484739.7259
138916.0793,484532.9568
138991.5943,484585.2837
138635.6036,483739.7469
138656.5508,484042.5061
138538.4206,483924.3229
138757.3428,483539.4308
138215.2918,484505.3114
138253.0397,484749.3306
139033.702,484826.801
139010.0115,484822.6475
138730.2485,484853.8527
138629.4597,484897.0655
138579.826,484903.604
138431.2568,484929.9375
138940.7126,485109.231
139058.1457,485075.5033
139180.7625,485072.0862
139098.1371,485269.4283
138980.9466,485293.6855
138349.351,485599.4882
139286.5214,486115.0406
139209.2452,485853.7013
139454.2993,485235.921
139194.4375,485842.0667
138779.2914,484894.3598
139301.8583,484789.8271
139365.8865,485132.8627
,
,
,
,
,
,
,
,
,
,
139469.8742,486191.6833
153640.6487,481822.6252
151032.308,485520.081
149240.036,486769.155
149000.245,483515.633
146767.896,483161.519
146531.8716,482783.314
146529.1576,482666.3712
146612.7502,482700.2722
146687.4769,482663.5256
146836.0378,482611.7215
149509.7669,483565.6248
149428.6431,483831.8479
149835.5499,483478.7048
146523.578,491759.43
146098.425,491459.646
145847.741,491291.824
144482.5589,492696.6673
146283.9509,493653.3623
145535.8239,493249.3233
145740.8489,487782.9225
